id,upper,lower,pickup
1727,4,4,-1
1728,4,4,-1
1729,4,4,-1
1730,4,4,-1
1739,4,4,-1
1742,12,8,-1
1788,4,4,-1
1789,4,4,-1
1790,3,4,-1
1791,4,4,-1
1792,4,4,-1
1793,4,4,-1
1805,4,4,-1
1807,3,4,-1
1811,4,4,-1
1812,3,4,-1
1813,4,4,-1
1817,3,4,-1
1818,4,4,-1
1822,4,4,-1
1824,3,4,-1
1828,4,4,-1
1829,4,4,-1
1835,3,4,-1
1859,3,4,-1
1872,4,4,-1
1873,4,4,-1
1876,6,8,-1
1893,3,4,-1
1916,4,4,-1
1918,6,8,-1
1919,2,4,-1
1922,6,8,-1
1923,2,4,-1
1931,6,8,-1
1932,3,4,-1
1933,2,4,-1
2075,4,4,-1
2076,4,4,-1
2077,3,4,-1
2078,4,4,-1
2079,3,4,-1
2080,4,4,-1
2081,4,4,-1
2082,4,4,-1
2083,4,4,-1
2104,4,4,-1
2105,3,4,-1
2112,4,4,-1
2113,3,4,-1
2114,4,4,-1
2116,3,4,-1
2117,4,4,-1
2118,3,4,-1
2119,4,4,-1
2127,3,4,-1
2131,2,4,-1
2138,4,4,-1
2140,4,4,-1
2147,3,4,-1
2148,2,4,-1
2149,9,8,-1
2150,3,4,-1
2151,2,4,-1
2154,3,4,-1
2155,2,4,-1
2156,3,4,-1
2157,2,4,-1
2158,1,8,-1
2159,3,4,-1
2160,3,8,-1
2161,6,8,-1
2166,4,4,-1
2167,6,8,-1
2168,3,8,-1
2169,3,4,-1
2177,4,4,-1
2178,3,4,-1
2179,1,4,-1
2180,1,8,-1
2186,3,4,-1
2202,4,4,-1
2203,3,4,-1
2204,3,4,-1
2217,3,4,-1
2218,4,4,-1
2219,3,4,-1
2220,3,4,-1
2221,4,4,-1
2222,3,8,-1
2241,4,4,-1
2242,4,4,-1
2243,12,8,-1
2244,3,8,-1
2282,6,4,-1
2283,4,4,-1
2284,4,4,-1
2285,3,4,-1
2288,4,4,-1
2289,3,4,-1
2293,4,4,-1
2294,4,4,-1
2295,3,4,-1
2296,3,4,-1
2297,4,4,-1
2313,4,4,-1
2314,3,4,-1
2315,4,4,-1
2318,1,4,-1
2319,9,8,-1
2320,3,4,-1
2330,4,4,0
2334,3,4,0
2335,3,4,3
2336,2,4,2
2341,3,4,3
2342,2,4,2
2365,1,4,-1
2366,4,4,-1
2368,1,4,-1
2376,6,8,-1
2377,4,4,-1
2379,4,4,-1
2381,1,4,-1
2383,,,-1
2384,,,-1
2397,1,4,0
2398,2,4,2
2403,,,-1
2415,,,-1
2417,,,-1
2420,3,4,1
2431,,,-1
2432,,,-1
2433,,,-1
2451,,,-1
2462,2,4,0.5
2463,2,4,0.5
2466,2,4,0.5
2480,,,-1
2481,,,-1
2482,,,-1
2483,,,-1
2494,,,-1
2497,,,-1
2501,3,4,0.25
2502,2,4,1
2504,,,-1
2505,,,-1
2506,,,-1
2507,,,-1
2521,,,-1
2522,,,-1
2523,,,-1
2560,,,-1
2562,,,-1
2570,4,4,6
2571,4,4,4
2572,3,4,3
2573,4,4,4
2586,,,-1
2621,,,-1
2622,,,-1
2626,3,4,6
2627,2,4,0
2628,3,4,3
2629,2,4,0
2659,,,-1